S6_ORTHO_001-01_2014.04.20_RD_12bit_RGBI_6m,141.66 ,16-10-2015
S6_ORTHO_001-01_2016.03.10_RD_12bit_RGBI_6m,75.72 ,02-05-2016
S6_ORTHO_002-01_2014.04.20_RD_12bit_RGBI_6m,144.98 ,16-10-2015
S6_ORTHO_002-01_2014.07.24_RD_12bit_RGBI_6m,101.6 ,22-10-2015
S6_ORTHO_002-01_2014.08.23_RD_12bit_RGBI_6m,23.21 ,14-10-2015
S6_ORTHO_002-01_2016.03.12_RD_12bit_RGBI_6m,149.9 ,02-05-2016
S6_ORTHO_003-01_2014.04.20_RD_12bit_RGBI_6m,113.9 ,16-10-2015
S6_ORTHO_003-01_2016.03.12_RD_12bit_RGBI_6m,292 ,02-05-2016
S6_ORTHO_004-01_2014.04.20_RD_12bit_RGBI_6m,161.27 ,16-10-2015
S6_ORTHO_005-01_2014.04.20_RD_12bit_RGBI_6m,169.11 ,16-10-2015
S6_ORTHO_006-01_2014.04.20_RD_12bit_RGBI_6m,162.83 ,16-10-2015
S6_ORTHO_006-01_2016.03.13_RD_12bit_RGBI_6m,171.32 ,02-05-2016
S6_ORTHO_007-01_2014.04.22_RD_12bit_RGBI_6m,141.93 ,16-10-2015
S6_ORTHO_008-01_2014.04.25_RD_12bit_RGBI_6m,202.2 ,16-10-2015
S6_ORTHO_008-01_2016.03.17_RD_12bit_RGBI_6m,306.41 ,02-05-2016
S6_ORTHO_010-01_2014.05.18_RD_12bit_RGBI_6m,125.58 ,16-10-2015
S6_ORTHO_011-01_2014.05.18_RD_12bit_RGBI_6m,115.36 ,16-10-2015
S6_ORTHO_011-01_2015.03.12_RD_12bit_RGBI_6m,150.22 ,01-10-2015
S6_ORTHO_012-01_2014.05.18_RD_12bit_RGBI_6m,94.83 ,16-10-2015
S6_ORTHO_012-01_2015.03.12_RD_12bit_RGBI_6m,157.91 ,01-10-2015
S6_ORTHO_013-01_2014.05.18_RD_12bit_RGBI_6m,30.16 ,16-10-2015
S6_ORTHO_013-01_2015.03.12_RD_12bit_RGBI_6m,130.29 ,01-10-2015
S6_ORTHO_014-01_2014.05.18_RD_12bit_RGBI_6m,149.51 ,16-10-2015
S6_ORTHO_014-01_2015.03.12_RD_12bit_RGBI_6m,46.22 ,01-10-2015
S6_ORTHO_014-01_2016.03.13_RD_12bit_RGBI_6m,81.47 ,02-05-2016
S6_ORTHO_015-01_2014.05.18_RD_12bit_RGBI_6m,137.15 ,16-10-2015
S6_ORTHO_015-01_2015.03.12_RD_12bit_RGBI_6m,157.03 ,01-10-2015
S6_ORTHO_016-01_2015.03.12_RD_12bit_RGBI_6m,164.54 ,01-10-2015
S6_ORTHO_016-01_2016.03.26_RD_12bit_RGBI_6m,153.79 ,02-05-2016
S6_ORTHO_017-01_2015.03.12_RD_12bit_RGBI_6m,154.79 ,01-10-2015
S6_ORTHO_017-01_2016.03.26_RD_12bit_RGBI_6m,51.76 ,02-05-2016
S6_ORTHO_018-01_2015.03.12_RD_12bit_RGBI_6m,89.21 ,01-10-2015
S6_ORTHO_018-01_2016.03.26_RD_12bit_RGBI_6m,99.03 ,02-05-2016
S6_ORTHO_019-01_2014.05.18_RD_12bit_RGBI_6m,49.97 ,16-10-2015
S6_ORTHO_020-01_2014.05.18_RD_12bit_RGBI_6m,80.79 ,16-10-2015
S6_ORTHO_021-01_2014.05.18_RD_12bit_RGBI_6m,72.85 ,16-10-2015
